
season,  episode,  Main segment,  Original air date ,  U.S. viewers (millions)

1,  1,  POM Wonderful LLC v. Coca-Cola Co.,  (2014-04-27),  1.11 
1,  2,  Capital punishment,  (2014-05-04),  1.19
1,  3,  Global warming controversy,  (2014-05-11),  1.01
1,  4,  Right to be forgotten (Google Spain v AEPD and Mario Costeja González),  (2014-05-18), 1.03
1,  5,  Net neutrality,  (2014-06-01),  0.99
1,  6,  FIFA,  (2014-06-08), 0.95
1,  7,  Immigration reform,  (2014-06-15), 0.91
1,  8,  Dr. Oz's June 2014 Senate hearing and federal law on dietary supplements,  (2014-06-22), 0.89
1,  9,  Burwell v. Hobby Lobby,  (2014-06-29), 0.85
1, 10, Income inequality and wealth inequality, (2014-07-13), 0.84
1, 11, Incarceration in the United States, (2014-07-20), 0.92
1, 12, Nuclear weapons and the United States, (2014-07-27), 1.00
1, 13, Native advertising, (2014-08-03), 0.96
1, 14, Payday loans, (2014-08-10), 0.94
1, 15, Shooting of Michael Brown and police militarization, (2014-08-17), 1.03
1, 16, Student debt, (2014-09-07), 0.66
1, 17, Scottish independence referendum, (2014-09-14), 0.70
1, 18, United States embargo against Cuba &  Miss America 2015, (2014-09-21), 0.83
1, 19, Drones, (2014-09-28), 0.71
1, 20, Civil Asset Forfeiture, (2014-10-05), 0.66
1, 21, Special Immigrant Visa, (2014-10-19), 0.62
1, 22, Sugar, (2014-10-26), 0.76
1, 23, American Legislative Exchange Council, (2014-11-02), 0.60
1, 24, Lotteries, (2014-11-09), 0.80





2, 1, Pharmaceutical marketing, (2015-02-08), 0.72
2, 2, Tobacco, (2015-02-15), 0.51
2, 3, Judicial elections, (2015-02-22), 0.47
2, 4, Infrastructure, (2015-03-01), 0.71
2, 5, Voting rights in the U.S. territories, (2015-03-08), 0.69
2, 6, National Collegiate Athletic Association, (2015-03-15), 0.84
2, 7, Municipal violations, (2015-03-22), 0.78
2, 8, Government surveillance, (2015-04-05), 0.65
2, 9, Internal Revenue Service, (2015-04-12), 1.32
2, 10, Patent trolls, (2015-04-19), 1.45
2, 11, Child labor in the fashion industry, (2015-04-26), 1.39
2, 12, Standardized testing, (2015-05-03), 1.40
2, 13, Paid parental leave, (2015-05-10), 1.20
2, 14, Chicken contract farming, (2015-05-17), 1.04
2, 15, "2015 FIFA corruption case (FIFA II)", (2015-05-31), 1.39
2, 16, Bail, (2015-06-07), 1.26
2, 17, Torture, (2015-06-14), 1.26
2, 18, Online harassment and revenge porn, (2015-06-21), 1.37
2, 19, Transgender Rights, (2015-06-28), 1.24
2, 20, Stadium subsidies, (2015-07-12), 1.01
2, 21, Food waste, (2015-07-19), 1.04
2, 22, Mandatory sentencing in the United States, (2015-07-26), 0.94
2, 23, Washington D.C. voting rights and statehood movement, (2015-08-02), 0.98
2, 24, Sex education in the United States,(2015-08-09), 0.93
2, 25, Predatory churches and televangelism, (2015-08-16), 1.01
2, 26, LGBT rights in the United States, (2015-08-23), 1.03
2, 27, Public defenders in the United States, (2015-09-13), 0.69
2, 28, European migrant crisis, (2015-09-27), 0.66
2, 29, Mental health in the United States, (2015-10-04), 0.68
2, 30, North Dakota oil boom, (2015-10-11), 0.70
2, 31, 2015 Canadian federal election, (2015-10-18), 0.72
2, 32, 2015 United States elections, (2015-11-01), 0.69
2, 33, Prisoner reentry, (2015-11-08), 0.91
2, 34, Daily fantasy sports, (2015-11-15), 0.71
2, 35, Penny manufacturing costs, 2015-11-22), 0.78




